	[]
00010300  Bjorn Born DJ	[]
03000500  Limic aka Lio M	[]
2 Many DJs	['techno', 'techno', 'rock', 'disco', 'hip hop']
23000100  Pedro Andrade	[]
23h05h00	[]
4Line	[]
ANGY DEE	[]
ARCHIMEDE	[]
Acktivism	[]
Acoustic Nerds	[]
Adrian Martin  Pazzoide	[]
Agaric	['techno', 'techno', 'techno', 'rock', 'house music', 'disco', 'rap', 'techno', 'techno']
Air	['electronic rock', 'downtempo', 'electronic', 'electronic rock', 'electronic rock', 'electronic rock', 'downtempo', 'electroacoustic music', 'rock', 'electronica', 'disco', 'electronic rock', 'downtempo', 'electronic', 'electronic rock', 'electronic rock', 'electronic rock', 'downtempo', 'electronic rock', 'downtempo', 'electronic', 'electronic rock', 'electronic rock', 'electronic rock', 'downtempo']
Alex Di Stefano	['techno', 'techno', 'techno', 'rock', 'disco', 'hip hop', 'hip hop', 'rap', 'techno', 'techno']
AnGy KoRe	['techno', 'minimal', 'techno', 'techno', 'disco', 'hardstyle', 'hip hop', 'techno', 'minimal', 'techno', 'minimal']
Andrea Oliva	['disco', 'house music', 'techno', 'techno', 'house music', 'disco', 'hip hop', 'rap', 'disco', 'house music', 'techno', 'techno', 'house music', 'disco', 'house music', 'techno', 'techno', 'house music']
Andrey Pushkarev	['techno', 'techno', 'house music', 'disco', 'rap']
Andy Forrest	[]
Angelo Gallo  Focus on Ibiza	[]
Ast	[]
Aubrey	['disco', 'rap']
Aulay Fou	['disco', 'rap']
Avatism	['disco', 'deep', 'disco', 'deep', 'disco', 'deep']
B E Y O N D	['rock', 'disco', 'rap']
BANG GOES	[]
BASCHGI SCHUUB	[]
BE	['rock', 'anti-folk', 'comic', 'rock', 'rock', 'indie christmas', 'permanent wave', 'christmas', 'pop', 'zolo', 'rock', 'anti-folk', 'comic', 'rock', 'rock', 'indie christmas', 'permanent wave', 'christmas', 'pop', 'zolo', 'rock', 'anti-folk', 'comic', 'rock', 'rock', 'indie christmas', 'permanent wave', 'christmas', 'pop', 'zolo']
BLAIR	['house music', 'disco', 'rap']
BLEIMAGNET	[]
BLight	['slash punk', 'slash punk', 'slash punk']
Barbir	[]
Bassport	[]
Bedran	[]
Berlin	['big room', 'big', 'deep', 'edm', 'house music', 'house music', 'house music', 'trance music', 'trance', 'house music', 'trance music', 'big room', 'big', 'deep', 'edm', 'house music', 'house music', 'house music', 'trance music', 'trance', 'house music', 'trance music', 'big room', 'big', 'deep', 'edm', 'house music', 'house music', 'house music', 'trance music', 'trance', 'house music', 'trance music']
Blair	['house music', 'disco', 'rap']
Bojan Milenkovic	['disco', 'rap']
Born Bjorg	['techno', 'techno', 'house music']
Brainstorm	['p funk', 'p funk', 'p funk']
CHOREGRAPHY ANDRE MINKUS	[]
CLAUDIO	['classical performance', 'classical', 'orchestral', 'violin', 'classical performance', 'classical', 'orchestral', 'violin', 'classical performance', 'classical', 'orchestral', 'violin']
CRIS P	[]
Cadenza	[]
Ch	[]
Channel X	['house music', 'hardcore', 'house music', 'house music', 'hardcore', 'house music', 'house music', 'hardcore', 'house music']
Chapelier fou	[]
Christian Durdek	[]
Christian Durdek  BLEIMAGNET  AG	[]
Circus Company	[]
Claudio Carrera  New Star Production	[]
ConAction	[]
Cosmic Bastards	[]
Cosmokolor	['house music', 'disco', 'rap']
Cris P	[]
DAN KOOK	[]
DANIEL MARRONE & Radro	[]
DAVID JIMEZ	[]
DIRTYMADSOUND	[]
DJ Dub	['dub']
DJ Dubstep	[]
DJ Fever	[]
DJ Zest	[]
DJack Snyder	['house music', 'house music', 'disco', 'dub', 'uk garage', 'rap']
DJs	['new jack swing', 'new jack swing', 'new jack swing']
DURDEK	[]
Dalibox  Just like that	[]
Dalibox  Salidamusic	[]
Damien  White Lights	[]
Daniel Marrone	[]
Darek	[]
Dario DAttis	['disco', 'rap']
Dario Todorovic	[]
Darius D	[]
David Durango	['techno', 'rock', 'house music', 'disco', 'hip hop', 'hip hop', 'rap', 'techno', 'techno']
Davidovitch	['techno', 'techno', 'house music', 'disco', 'dub', 'rap']
Dee Martinez	[]
DeeJay Q	[]
Deejay Q	[]
Deeliver	[]
Dejan	[]
Dilek	[]
Dj Albee	[]
Dj TAG  Tresor  Berlin  TresorBerlin	[]
DjaneLaRouge	[]
Dlo  Harrem Resident	[]
Don Davide	[]
Dread J	['techno', 'techno', 'house music', 'disco', 'house music', 'hip hop', 'rap']
DrumnBass  Breaks	[]
Dualism	['progressive psytrance', 'techno', 'techno', 'techno', 'disco', 'hip hop', 'rap', 'progressive psytrance', 'progressive psytrance']
Dub Dummies	['techno', 'techno', 'disco', 'rap']
Durdek	[]
Dylan Casale	['techno', 'techno', 'rock', 'house music', 'disco', 'hip hop', 'house music', 'hip hop', 'rap', 'house music']
Dysonc	[]
EgoPhunk	['house music', 'house music', 'disco', 'rap']
Eleminal	['techno', 'techno', 'disco', 'hip hop', 'rap']
Eleminal 4h Set	[]
Enforce	['perth indie', 'perth indie', 'perth indie']
Entrée 10	[]
Erol Alkan	['techno', 'techno', 'rock', 'house music', 'disco', 'hip hop', 'hip hop', 'rap']
FRQNCY	[]
Fabio Tamborrini  Cocomania	[]
Fabric London	[]
Federico Milani	['techno', 'techno', 'techno']
Franco Bianco	['techno', 'techno', 'disco', 'ambient', 'rap']
Franco Bianco & Mike Wall present White Wall Live	['techno', 'techno', 'ambient', 'rap']
FreakBoutiqe	[]
Freshmint	[]
Fukuro	[]
GL Everest	[]
GOLD HANGOVER	[]
Garibovic	['disco', 'rap']
Gel Abril	['techno', 'techno', 'house music', 'disco', 'dub', 'hip hop', 'rap', 'house music']
George Lamell	[]
Goose	["children's music", "children's music", "children's music"]
Groove	['downtempo', 'electronic rock', 'breakbeat', 'disco', 'electronic', 'electronic rock', 'nu jazz', 'breakbeat', 'downtempo', 'house music', 'house music', 'disco', 'rap', 'downtempo', 'electronic rock', 'breakbeat', 'disco', 'electronic', 'electronic rock', 'nu jazz', 'breakbeat', 'downtempo', 'house music', 'house music', 'downtempo', 'electronic rock', 'breakbeat', 'disco', 'electronic', 'electronic rock', 'nu jazz', 'breakbeat', 'downtempo', 'house music', 'house music']
Groove On	[]
Guisy S	[]
Harry Klein Lausanne	[]
Hecht&Zander	[]
Heval	['electronica']
Hive	['indie poptimism', 'indie poptimism', 'indie poptimism']
Honeya	[]
Hureca  Crazy Hours Italy	[]
ITALY	[]
Ibiza	['house music', 'house music', 'house music']
Ilanè	[]
JORDAN & ASLANKAN	['techno', 'techno', 'house music', 'house music', 'rap']
JOne	['hip hop', 'hip hop', 'hip hop']
Jacqui	['jazz christmas', 'jazz', 'techno', 'techno', 'disco', 'hip hop', 'rap', 'jazz christmas', 'jazz', 'jazz christmas', 'jazz']
Jaime Fiorito	['rock', 'house music', 'house music', 'disco', 'hip hop', 'hip hop']
Jan Penarrubia	['techno', 'techno', 'disco', 'rap']
Jan Penarrubia  OFF MIND RECSIRION REC  BE	[]
Jan Penarrubia b2b Mike Teixeira	[]
Joe Janell	[]
Juanjo Martin	['electro latino', 'disco', 'rap', 'electro latino', 'electro latino']
Just like that	[]
Keith Worthy	[]
Kim Prevedello	['house music', 'disco', 'hip hop', 'hip hop', 'rap']
KnackigSaftigWohltuned präsentiert	[]
Kris Elements	[]
Kubin	[]
LINEUP	[]
Le Spectre	['tekno', 'tekno', 'tekno']
Liebkind	[]
Lil Fry	[]
Luc André	[]
Luca Albano	['disco', 'rap']
Lui Young	['techno', 'techno', 'disco', 'rap']
MARCO NAVARRO	[]
MC Stone	[]
MC Yasmine	[]
MISS VIVIAN KANT	[]
MODESTINO	[]
MafiOzee	[]
Mano Jay	[]
Marcos del Sol  Noches con Sol	[]
Marcus Werany	['disco', 'rap']
Marek Hemmann	['house music', 'deep', 'techno', 'microhouse', 'techno', 'techno', 'house music', 'house music', 'techno', 'techno', 'techno', 'house music', 'deep', 'techno', 'microhouse', 'techno', 'techno', 'house music', 'house music', 'house music', 'deep', 'techno', 'microhouse', 'techno', 'techno', 'house music', 'house music']
Markus haZe	[]
Martin Huergo	['techno']
Mas Ricardo	[]
Masomenos	['techno', 'disco', 'hip hop', 'rap', 'techno', 'techno']
Mathieu Kubin	[]
Mathieu Kubin  REGIORAVE  AG	[]
Max Nero	['techno', 'techno']
Mc Annie Jacklin	[]
Michael Deep	['techno', 'techno', 'breakbeat', 'house music', 'electronica', 'disco', 'house music', 'rap', 'house music']
Mickail	[]
Mindtrip	[]
Minimalfraktion	[]
Mirco Many	['rock', 'house music']
Mixhell	['techno', 'rock', 'electronica', 'disco', 'electronic rock', 'hip hop', 'trance music', 'techno', 'techno']
NALAYA BROWN	[]
NEW YORK	[]
NICOLA SIMIONATO	[]
NYC	['beatdown', 'beatdown', 'beatdown']
Ned ONeal	[]
Ned ONeal  MinimalFraktion	[]
Nenad J	[]
Nooncat aka Alex Meshkov	[]
Norbert Davenport	[]
Noromal	['disco', 'rap']
Noromal  SUNSUN REC  SO	[]
Noromal & Durdek	['rap']
Noromal & Somi	['rap']
Nukem	['rock', 'house music', 'disco']
OXA	[]
Oliver K	['re:techno', 'techno', 'house music', 'hip hop', 'hip hop', 'hip hop', 're:techno', 're:techno']
On the wheels of steel	[]
Ondrej	['techno', 'techno', 'house music', 'disco', 'dub', 'rap']
Onkin	[]
Opuswerk	['techno', 'techno', 'drum and bass', 'disco', 'dub', 'rap', 'techno', 'techno']
Oxyd	[]
PAOLO BARDELLI	['disco', 'rap']
PERFORMANCE YUNELLESKA	[]
PHILIP BADER	['house music', 'techno', 'house music', 'techno', 'house music', 'techno']
PanPot	[]
Pascal Nuzzo	['disco', 'rap']
Paul Chambers	['bebop', 'contemporary post-bop', 'cool jazz', 'bop', 'jazz', 'jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'bop', 'jazz', 'jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'bop', 'jazz', 'jazz']
Paul Eg	['techno', 'techno', 'house music', 'disco']
Paul Eg  Ethnik GrooveMinimo ImprintDefinition Records	[]
Peter D	['techno', 'techno', 'disco', 'hip hop', 'rap']
Philip Ort	[]
Philipp Aregger	[]
Philipp Ort	['techno', 'techno', 'techno']
Piratenkind	[]
PolluX	[]
Proud  White Lights	[]
