	[]
& Local Support Kugl	[]
&ME	['alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo', 'alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo', 'alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo']
0015  0130 Rico Rausch b2b Der Dirigent	[]
0041 79 58 68 812	[]
0100  0400 Dr Lektroluv	[]
0130  end Luna City Express	[]
0130 Klaus Frauenholz	[]
0300 Juan Veloz	[]
0330  0600	[]
0400  0500 Marco Rossi	[]
0500  0630	[]
0500  0700	[]
0630  0800	[]
0630  0830	[]
0700  0900	[]
0800  0930	[]
0830  End	[]
0900  1030	[]
0930  1100	[]
10 April 2015  Moon	[]
10 Jahre Rakete Openair presents The Lake	[]
100Tons	[]
1030  End	[]
11 APRILE LE MOON	[]
11 APRILE MODERNITY	[]
11 April 2015  Moon	[]
12 APRILE LE MOON	[]
12 APRILE MODERNITY	[]
12 April 2015  Modernity	[]
13 APRILE MODERNITY	[]
1700  1815 Felix Kröcher	[]
1800  0200  MARTIN GIRALDO aka DJTAL	[]
18h  22h  Jean Clef	[]
18h  22h  Pascal Viscardi Saft Recordings	[]
18h  22h  Seteve	[]
18h0022h00 Pascal Viscardi  DEEP HOUSE  RARE GROOVE	[]
1900 Vertical Surround Performance mimetic	[]
1940 Vertical Surround Performance mimetic	[]
19h  22h  Constellation  Juicy Fruity Funky Fresh Life Beats & Rhymes	[]
19h  22h  Felix Et Chat	[]
19h  22h  Marlon & Andreas	[]
19h  22h  Rony KN	[]
2000 and One	['hip hop', 'house music', 'techno', 'house music', 'disco', 'hip hop', 'house music', 'techno', 'ambient', 'rap']
2020 Vertical Surround Performance mimetic	[]
2020 Vision	[]
2100  2200 Marloti	[]
2100 Vertical Surround Performance mimetic	[]
2130 Jazz T	[]
2200  0100  MEGABLAST & MAKOSSA	[]
2200  2300 Maximizerz	[]
22a Music	[]
22h00  1h00  Metro Area	[]
2300  0015 Felipe&Gusto	[]
2300  0100 mastermark	[]
2300  2400 Danie König & Tom Novy	[]
2300 PeeKay	[]
2315  2400 Johnny RoxxBildstörung	[]
237	[]
237 Family	[]
24	['bachata', 'orquesta tropical', 'tropical', 'bachata', 'orquesta tropical', 'tropical', 'bachata', 'orquesta tropical', 'tropical']
2400 Romanesko	[]
2floor	[]
2nd Floor	[]
2nd Room	[]
2room	[]
2st Room	[]
3010	['rap', 'rap', 'rap']
393389470704	[]
3Some	[]
3some	[]
4057 BASEL	[]
4T	[]
4ton	[]
8 Bit Records	[]
88uw	['techno', 'techno', 'techno']
8Bit	[]
9 April 2015  Moon	[]
A Friend	['emo', 'metalcore', 'pop punk', 'hardcore', 'punk', 'screamo', 'emo', 'metalcore', 'pop punk', 'hardcore', 'punk', 'screamo', 'emo', 'metalcore', 'pop punk', 'hardcore', 'punk', 'screamo']
A coté de leur résidence dans différents clubs genevois	[]
A touch of deep	[]
ABRAHAM LICORNE  electroswing  GE	[]
ABROTHERS  Gayle San Rec & Nachtstrom Schallplatten  AUT	[]
AC204	[]
ACES A	[]
ACID	['post-disco', 'escape room', 'indie dream pop', 'indie', 'indie', 'preverb', 'vaporwave', 'post-disco', 'escape room', 'indie dream pop', 'indie', 'indie', 'preverb', 'vaporwave', 'post-disco', 'escape room', 'indie dream pop', 'indie', 'indie', 'preverb', 'vaporwave']
ACIDHAT	[]
ACOMA & MARCELINHO and his congas Groove Technology  Drifters  Freiburg	[]
AG	['hardcore', 'house music', 'rap', 'house music', 'dub', 'techno', 'disco', 'techno', 'rock', 'hardcore', 'hardcore']
AGAPE	[]
AGRO  UK	[]
AIX	['ambient', 'ambient', 'drone', 'fourth world', 'drone', 'ambient', 'ambient', 'drone', 'fourth world', 'drone', 'ambient', 'ambient', 'drone', 'fourth world', 'drone']
AKA	[]
AKA AKA	['house music', 'techno', 'hip hop']
AKAY & NEEVO	['rap']
AKSHAN	['ambient', 'ambient', 'ambient']
