	[]
130BPM	['disco']
88uw	['techno', 'techno', 'techno']
AKAY & NEEVO	['rap']
AMARO	['reggaeton', 'reggaeton', 'reggaeton', 'reggaeton', 'reggaeton', 'reggaeton']
ANDON	[]
AR	['desi', 'filmi', 'indian pop', 'desi', 'filmi', 'indian pop', 'desi', 'filmi', 'indian pop']
ARIAS	['rap', 'house music', 'disco']
Adolpho & Franky	[]
Adriatique	['disco', 'deep', 'deep', 'house music', 'microhouse', 'techno', 'techno', 'house music', 'rap', 'hip hop', 'hip hop', 'techno', 'techno', 'disco', 'disco', 'deep', 'deep', 'house music', 'microhouse', 'techno', 'techno', 'house music', 'disco', 'deep', 'deep', 'house music', 'microhouse', 'techno', 'techno', 'house music']
Albi	[]
Alec Troniq	['house music', 'deep', 'deep', 'house music', 'rap', 'disco', 'house music', 'deep', 'deep', 'house music', 'house music', 'deep', 'deep', 'house music']
Alex Dallas	[]
Alex Dallas b2b Kalabrese	[]
Alex G & Fame	['rap']
Alex Mota	[]
Alice Hänsenberger	[]
Alphajet	[]
Amaro	['reggaeton', 'reggaeton', 'reggaeton', 'reggaeton', 'reggaeton', 'reggaeton']
Ambivalent	['techno', 'house music', 'techno', 'techno', 'techno', 'house music', 'techno', 'house music']
Amsterdam	[]
An21	['big room', 'edm', 'house music', 'house music', 'dub', 'big room', 'edm', 'house music', 'house music', 'big room', 'edm', 'house music', 'house music']
Andhim	['disco', 'deep', 'deep', 'house music', 'techno', 'techno', 'house music', 'house music', 'rap', 'techno', 'disco', 'disco', 'deep', 'deep', 'house music', 'techno', 'techno', 'house music', 'house music', 'disco', 'deep', 'deep', 'house music', 'techno', 'techno', 'house music', 'house music']
Andre	['rap', 'techno', 'techno', 'house music', 'disco']
Andrea Oliva	['disco', 'house music', 'techno', 'techno', 'house music', 'rap', 'hip hop', 'disco', 'disco', 'house music', 'techno', 'techno', 'house music', 'disco', 'house music', 'techno', 'techno', 'house music']
Andrew The Grand	[]
Andri	['house music', 'deep', 'rap', 'rock', 'techno', 'techno', 'ambient', 'disco', 'house music', 'deep', 'house music', 'deep']
André Galluzzi	[]
Andrés Marcos	[]
Animal Trainer	['house music', 'deep', 'house music', 'deep', 'house music', 'deep']
Animation byAnish & The PDG	[]
Anthony	['hollywood', 'hollywood', 'hollywood']
Apollonia	[]
Architectural	['dub', 'rap', 'techno', 'techno', 'disco', 'dub', 'dub']
Atol	[]
Attilio	[]
Azoth	[]
Azzuro	[]
BJÖRN LOMAR	[]
Baile Musik	[]
Bar25  Berlin	[]
Bart Skils	['techno', 'techno', 'house music', 'techno', 'hip hop', 'rock', 'techno', 'techno', 'disco', 'techno', 'techno', 'house music', 'techno', 'techno', 'techno', 'house music', 'techno']
Bas Ibellini	[]
Bassbüro	[]
Bauchamp	[]
Beatamines	['house music', 'deep', 'house music', 'rap', 'disco', 'house music', 'deep', 'house music', 'house music', 'deep', 'house music']
Beats On Demand	[]
Beda	['rap', 'disco']
Ben Purple	[]
Berghain  Berlin	[]
Berghain Ostgut	[]
Berlin	['big room', 'big', 'deep', 'edm', 'house music', 'house music', 'house music', 'trance music', 'trance', 'house music', 'trance music', 'big room', 'big', 'deep', 'edm', 'house music', 'house music', 'house music', 'trance music', 'trance', 'house music', 'trance music', 'big room', 'big', 'deep', 'edm', 'house music', 'house music', 'house music', 'trance music', 'trance', 'house music', 'trance music']
Bern	[]
Bird	['rock', 'anti-folk', 'chamber pop', 'chicago indie', 'folk', 'folk', 'folk', 'indie', 'indie', 'indie', 'indie', 'melancholia', 'neo-psychedelic', 'new americana', 'pop', 'singer-songwriter', 'slow core', 'stomp and holler', 'rock', 'anti-folk', 'chamber pop', 'chicago indie', 'folk', 'folk', 'folk', 'indie', 'indie', 'indie', 'indie', 'melancholia', 'neo-psychedelic', 'new americana', 'pop', 'singer-songwriter', 'slow core', 'stomp and holler', 'rock', 'anti-folk', 'chamber pop', 'chicago indie', 'folk', 'folk', 'folk', 'indie', 'indie', 'indie', 'indie', 'melancholia', 'neo-psychedelic', 'new americana', 'pop', 'singer-songwriter', 'slow core', 'stomp and holler']
BitTuner	[]
Björn Lomar	[]
Black Coffee	['house music', 'house music', 'hip hop', 'house music', 'techno', 'house music', 'house music', 'house music', 'house music', 'house music']
Borderliners Rec	[]
Boris Dolinski	[]
Boumi B	[]
Bowser	[]
Breandan Davey	['rap', 'hip hop', 'techno', 'techno', 'disco']
Brian Sanhaji	['dub', 'hip hop', 'hip hop', 'hip hop', 'techno', 'techno', 'house music', 'disco']
Brown S	['house music']
Bruno Minimal	[]
CASQUE	[]
CFLOW	[]
CFlow	[]
CLAUDE STAFFIERI	[]
Cadenza  Lausanne	[]
Carl Jack aka Abdomen	[]
Cem	['turkish folk', 'turkish', 'turkish', 'turkish', 'turkish folk', 'turkish', 'turkish', 'turkish', 'turkish folk', 'turkish', 'turkish', 'turkish']
Centaury	[]
Chipe	[]
Chris Air	[]
Chris Koegler	[]
Chris Rockwell	['rap', 'rock', 'techno', 'techno', 'house music', 'disco']
Chris de Rebel	[]
Christian Burkhardt	['techno', 'dub', 'techno', 'techno', 'techno', 'techno']
Cityfox  Zurich	[]
Clarisse	[]
Clarisse  Lausanne	[]
Cocoon	['chanson', 'chanson', 'chanson']
Consor	['rock', 'techno']
Costa Del Soul DJ Team	[]
Custom Tea	[]
DE	['banda', 'grupera', 'norteno', 'regional mexican', 'banda', 'grupera', 'norteno', 'regional mexican', 'banda', 'grupera', 'norteno', 'regional mexican']
DISCOfloor	[]
DJ Emerson	['techno', 'rap', 'house music', 'techno', 'techno', 'breakbeat', 'house music', 'disco', 'techno', 'techno']
DJ Fett Burger	[]
DJ Girl	[]
DJ Tennis	['house music', 'rap', 'rock', 'techno', 'techno', 'house music', 'house music']
DJs	['new jack swing', 'new jack swing', 'new jack swing']
DJs Atol	[]
DRESSCODE all in white	[]
Dalibox  MinimalFraktion  Salidamusic	[]
Dandy Jack	['rap', 'hip hop', 'hip hop', 'techno', 'techno', 'disco']
Daniel Dreier	['techno', 'dub', 'rap', 'hip hop', 'hip hop', 'techno', 'techno', 'house music', 'disco', 'techno', 'techno']
Daniel Marrone	[]
Danny Daze	['disco', 'dub', 'hip hop', 'downtempo', 'hip hop', 'rock', 'techno', 'techno', 'electronic rock', 'house music', 'industrial music', 'disco', 'disco']
Dario DAttis	['rap', 'disco']
Dario Sorano	['rap', 'techno', 'techno', 'disco']
Dario Zenker	['techno', 'rap', 'trance music', 'techno', 'techno', 'house music', 'disco', 'techno', 'techno']
Das Balz b2b Adrian Bergmann	[]
