	[]
0130 Klaus Frauenholz	[]
0300 Juan Veloz	[]
2130 Jazz T	[]
2300 PeeKay	[]
2400 Romanesko	[]
2nd Floor	[]
AGENT	['crossover thrash', 'hardcore', 'punk', 'punk', 'punk', 'disco', 'rap', 'techno', 'house music', 'techno', 'crossover thrash', 'hardcore', 'punk', 'punk', 'punk', 'crossover thrash', 'hardcore', 'punk', 'punk', 'punk']
AL SENTO	[]
Aalbou	[]
Abstract	[]
Adam Winston	[]
Adolpho & Franky	[]
Adriano Mirabile	['disco', 'rap', 'dub', 'hip hop', 'house music']
Ajele Naturklang	[]
Alci	['bolero', 'classic colombian pop', 'cumbia', 'merengue', 'salsa', 'vallenato', 'disco', 'rap', 'techno', 'techno', 'bolero', 'classic colombian pop', 'cumbia', 'merengue', 'salsa', 'vallenato', 'bolero', 'classic colombian pop', 'cumbia', 'merengue', 'salsa', 'vallenato']
Alex Anderst	[]
Amine Edge & DANCE	['rap', 'house music', 'disco', 'house music']
Andreas Ramos Baked ZH	[]
Andrew	['rock', 'anti-folk', 'chamber pop', 'chicago indie', 'folk', 'folk', 'folk', 'indie', 'indie', 'indie', 'indie', 'melancholia', 'neo-psychedelic', 'new americana', 'pop', 'singer-songwriter', 'slow core', 'stomp and holler', 'rock', 'anti-folk', 'chamber pop', 'chicago indie', 'folk', 'folk', 'folk', 'indie', 'indie', 'indie', 'indie', 'melancholia', 'neo-psychedelic', 'new americana', 'pop', 'singer-songwriter', 'slow core', 'stomp and holler', 'rock', 'anti-folk', 'chamber pop', 'chicago indie', 'folk', 'folk', 'folk', 'indie', 'indie', 'indie', 'indie', 'melancholia', 'neo-psychedelic', 'new americana', 'pop', 'singer-songwriter', 'slow core', 'stomp and holler']
Andrew The Grand	[]
Andrés Marcos	[]
Angelo B	[]
Antislash	['disco', 'rap', 'house music', 'house music']
Archie Hamilton	['techno', 'house music', 'techno']
Ari Onni	[]
Armonica	[]
Arutani	[]
Avem	[]
Azimute aka Quenum & Cesare vs Disorder	[]
BP Zulauf	[]
Barac	['disco', 'rap']
Benjamin Fehr  Catenaccio  Foundsound  Finefood Records  Berlin	[]
Betolicious	[]
Bfly	[]
Bfly Steiner	['techno', 'house music']
Boris Why	['disco', 'rap', 'techno', 'house music']
CH	[]
CUT	['electronic rock', 'australian dance', 'post-disco', 'electronic rock', 'electronic', 'house music', 'indie pop', 'indie', 'indie', 'electronic rock', 'electronic rock', 'disco', 'nu', 'pop', 'electronic rock', 'electronic rock', 'australian dance', 'post-disco', 'electronic rock', 'electronic', 'house music', 'indie pop', 'indie', 'indie', 'electronic rock', 'electronic rock', 'disco', 'nu', 'pop', 'electronic rock', 'electronic rock', 'australian dance', 'post-disco', 'electronic rock', 'electronic', 'house music', 'indie pop', 'indie', 'indie', 'electronic rock', 'electronic rock', 'disco', 'nu', 'pop', 'electronic rock']
Central Rodeo	['disco', 'rap', 'techno', 'house music']
Chic Miniature aka Guillaume & The CoutuDumonts & Ernesto Ferreyra	[]
Chris de Luca vs Phono	[]
Christian & Raphaël	['rap', 'house music']
Cipmo	[]
Claude Laurier	[]
Clem	['ambient', 'nu age', 'hip hop', 'disco', 'rap', 'hip hop', 'jungle', 'hip hop', 'rock', 'ambient', 'nu age', 'ambient', 'nu age']
Club Q	[]
Contexterrior	[]
Copains Sauvages	[]
Cosi Dee	[]
Crosstown RebelsFR	[]
DAndy vs TRony	[]
DJ Ass	[]
DJ Bazooka	[]
DJ Deenasty	[]
DJ Jamie Lewis	[]
DJ Tray	[]
DK13	[]
Dachshund	['techno', 'techno', 'techno', 'techno', 'techno', 'techno']
Dacid	[]
Daley Padley	[]
Dalibox	['disco', 'hip hop']
Dan Farserelli	['deep', 'deep', 'deep']
Dan Welton	['techno', 'house music', 'house music']
Dan Welton and Edgar Jack	[]
Dani Casarano	['techno', 'techno']
Daria	['disco', 'rap', 'techno', 'house music', 'techno']
Darko Stronqvist	[]
David Armada	['disco', 'rap']
David Durango	['techno', 'hip hop', 'disco', 'rap', 'hip hop', 'rock', 'house music', 'techno', 'techno']
David Torr	['disco', 'rap']
Dead As Disco	[]
Deep n Dub	[]
Desolat	[]
Diego Indigo	[]
Dinan	[]
Dineo	[]
Divided Rec	[]
Dj Kulturshock	[]
Don Vincent	[]
DoubtingThomas	['disco', 'rap', 'techno']
Dr FadR	[]
DuoRhythm	[]
EXTRASTUNDEN JONATHAN SOLO	[]
Eddie Thoneick	['big room', 'techno', 'house music', 'house music', 'big room', 'techno', 'house music', 'house music', 'big room', 'techno', 'house music', 'house music']
Edgar Jack	['techno', 'house music', 'techno']
Edgar Jack and Marrocco	[]
Edivad	[]
Eli Verveine	['disco', 'techno', 'hip hop', 'techno']
Elrino	[]
Enzo di Caprio	[]
Eric Borgo	['disco', 'rap', 'techno', 'house music', 'techno', 'house music']
Extrastunden	[]
FLINKE FINGER	[]
Fabio Tamborrini	['disco']
Fantastic Friends  Highgrade  Metroline Limited	[]
Federico Molinari	['techno', 'disco', 'rap', 'house music', 'house music', 'techno', 'techno']
