	[]
&	['pop', 'pop', 'pop']
& MORE TBC	[]
& many SURPRISE & SPECIAL GUESTS	[]
& more	['deep freestyle', 'deep freestyle', 'deep freestyle']
& more TBA	[]
0000  0100  MAHMOOD	[]
0000  0100 DJ Olafson	[]
0000  0100 STEPH COLE	[]
0000  0200	[]
0000  0200  Clara	[]
0000  0200 FION 2000	[]
0000  0530 Av Skardi	[]
0000  ANDROO	[]
0030  0530 SOFA TEE & HERMES	[]
0030  END	[]
0030  END  JEANTOUSSAINT & 2000	[]
0041 79 58 68 812	[]
00h00 à 00h45  Bak XIII	[]
00h00 à 00h45  The Atomic Bitchwax	[]
0100  0200  ARTMAILLE	[]
0100  0200 Cosmic Bastards	[]
0100  0300 Gelivan	[]
01h25 Ã  02h55  Miss Duckin	[]
01h25 à 02h55  Miss Duckin	[]
0200  0330 Gelivan	[]
0200  0400	[]
0200  0400  Daniel Wang	[]
0200  0400  Substance aka DJ Pete	[]
0200  0400 Anthony Parasole	[]
0200  HORASSE & Tissu	[]
0200  Soichi Terada	[]
0300  Alan Bolumar	[]
0330  0500 NDroo	[]
0400  0530  Strb	[]
0400  0530 OJIE	[]
0400  05h30	[]
0400  END  Crowdpleaser	[]
1204 Genève	[]
1300  1400 TBA	[]
130BPM	['disco']
1400  1430 Betty & Ford	[]
1400  1500 Kyrill & Redford	[]
1430  1500 James Mc Hale	[]
14h00 à 14h45  Danila	[]
14h00 à 14h45  Floyd Beaumont & The Arkadelphians	[]
15 CHF	[]
1500  1700 Adriatique	[]
1500  1700 Sascha Braemer & Niconé	[]
15h00 à 15h45  Max der Zinger	[]
15h00 à 15h45  Six Months Of Sun	[]
1600  1900 JEAN TOUSSAINT & 2000	[]
16h00 à 16h45  Hollyhock	[]
16h00 à 16h45  M Fallan	[]
1700  1900 Adana Twins	[]
1700  1900 Monkey Safari	[]
17h00 à 17h45  The Savonnettes	[]
17h00 à 17h45  Voice Of Ruin	[]
18h00 à 18h45  Colossus Fall	[]
18h00 à 18h45  The Chikitas	[]
1900  2100 ARTMAILLE	[]
1900  2100 Oliver Koletzki	[]
1900  2100 TBA	[]
19h00 Ã  20h00  Metronome Djs	[]
19h00 à 19h45  Ca Va Chier	[]
19h00 à 19h45  Wardhill	[]
19h00 à 20h00  Metronome Djs	[]
2 Many DJs	['disco', 'rock', 'techno', 'hip hop', 'techno']
20 CHF	[]
20h  21h30  ABOVE THE CLOUDS	[]
20h00 Ã  20h45  Tanua	[]
20h00 à 20h45  Gaz	[]
20h00 à 20h45  Mumakil	[]
20h00 à 20h45  Tanua	[]
20h00 à 20h45  Vuyvr	[]
20h30  21h30  SLAKBAR	[]
20h45 Ã  22h15  Fabian Kozelsky	[]
20h45 à 22h15  Fabian Kozelsky	[]
2100  2300 Animal Trainer	[]
2100  2300 MAHMOOD	[]
2100  2300 Nina Kraviz	[]
21h00 à 21h45  Incrüst	[]
21h00 à 21h45  KessKhtak	[]
21h30  22h30  VOLCANO THE BEAR	[]
21h30  23h  JONNY SENDER	[]
2200  2300 Steph Cole	[]
22h00 à 22h45  Elizabeth	[]
22h00 à 22h45  Promethee	[]
22h15 Ã  23h45  Frother	[]
22h15 à 23h45  Frother	[]
22h30  01h  Cobeia	[]
2300  0000 Daniel Wang	[]
2300  0000 David August	[]
2300  0000 Kollektiv Turmstrasse	[]
2300  0000 SAMD FURIOUS	[]
2300  0000 SamD Furious	[]
23h  01h  Prins Thomas	[]
23h00 à 23h45  Faute de Frappe	[]
23h00 à 23h45  SolarFlar VS Rocrar	[]
23h45 Ã  01h25  Oxensa	[]
23h45 à 01h25  Oxensa	[]
