	place	address	event	date	artists
0	 Acqua Lounge Basilea	Binningerstrasse 14; 4051, Basel	Livingroom Fm presents M50	2017-02-02	['m50']
1	 Acqua Lounge Basilea	Binningerstrasse 14; 4051, Basel	Starsrain Records Night	2017-02-02	['Davidon']
2	 Acqua Lounge Basilea	Binningerstrasse 14; 4051, Basel	Livingroom.Fm presents Danilo Plessow	2017-02-02	['Danilo Plessow aka Inverse Cinematics (Four Roses', ' Four Roses', ' GER)aka Motor City Drum Ensemble (Compost Records', ' 2020 Vision', ' Mule Musiq)', 'hosted by Thomas Brunner']
