	place	address	event	date	artists
0	 3monkeys	Alexander-Schönistrasse 17, 2502, Biel/Bienne	Bassnsmile present 'Early In The Morning' Part IV	2017-02-02	['Franko Lopez', 'Jamahr', 'Zano.P']
1	 3monkeys	Alexander-Schönistrasse 17, 2502, Biel/Bienne	Bassnsmile present 'Early In The Morning' Part II	2017-02-02	['Flavio', 'Sandro Kuhne']
2	 3monkeys	Alexander-Schönistrasse 17, 2502, Biel/Bienne	Bassnsmile present 'Early In The Morning	2017-02-02	[' Newfact Music', 'Extrastunden (Bassnsmile)', ' ZH)', 'Mia. (Less Than Three', ' Nordstern', ' Basel)', 'Ra.pu & Nekow (Prisma Music']
3	 3monkeys	Alexander-Schönistrasse 17, 2502, Biel/Bienne	Bassnsmile present: Reloveution	2017-02-02	['Sandro Kühne', 'Giusy S b2b Maickel Esse', 'Zano.P b2b She Nionika']
