	place	address	event	date	artists
0	 Abraxas	Chemin du Stand 5; Pully, 1009	The Cruzaders	2017-02-02	['The Cruzaders']
1	 Abraxas	Chemin du Stand 5; Pully, 1009	The Cruzaders - Release Party The Cruzaders	2017-02-02	['The Cruzaders']
2	 Abraxas	Chemin du Stand 5; Pully, 1009	The Cruzaders	2017-02-02	['The Cruzaders']
