location,event,date,artist,genre
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,JAZZ JUVENOCRACY,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,TEMPO FORTE,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,CONSERVATOIRE DE MUSIQUE ECOLE DE JAZZ MONTREUX VEVEY RIVIERA,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,CHRISTOPHE JAQUET,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,GREEN DAY,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,KURT ROSENWINKEL,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,ANGEL HAZE,
Veytaux,MONTREUX JAZZ FESTIVAL,2013-07-07,ENSEMBLE BABEL,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,NEW SOUNDS FROM ARAB LANDS,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,JC SATAN,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-07,DJ VOLTA,
Locarno,MOON AND STARS,2013-07-07,SANTANA,
Zurich,TOUCH THE LAKE,2013-07-07,STEFF LA CHEFFE,
