location,event,date,artist,genre,coordinates
Chene Bougeries,BIMBADABOUM FESTIVAL,2012-08-18,MONSIEUR LUNE (L'INCROYABLE HISTOIRE DE GASTON ET LUCIE),,"(46.1983939, 6.1851258)"
Plan les Ouates,FESTIVAL PLEIN LES WATTS,2012-08-18,ROD TAYLOR,,"(46.1668075, 6.1145793)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,V.S.O.P.,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,SWING DE FOU,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,OCHUMARE,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,VINCENT RUIZ,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,LES DESACCORDES,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,BECHET MEMORIES,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,LEBOCAL,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,MATTHIEU LLODRA,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,L'IRONIE DU SON,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,SAMARABALOUF,,"(46.3006983, 6.2449688)"
Hermance,JAZZ SUR LA PLAGE,2012-08-18,MELISMETIQ,,"(46.3006983, 6.2449688)"
Vevey,NOX ORAE,2012-08-18,GRAVENHURST,,"(46.4628333, 6.8419192)"
Gampel,OPEN AIR DE GAMPEL,2012-08-18,FAMARA,,"(46.3157745, 7.741944099999999)"
Le Locle,ROCK ALTITUDE,2012-08-18,MOGWAI,,"(47.0577195, 6.7487354)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,SAXITUDE,,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,QUATUORGANIC,,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,MARCO MARCHI & THE MOJO WORKERS,,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,NICOLE HERZOG,,"(46.8496401, 6.845060800000001)"
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,JEAN PHILIPPE SCALI,,"(46.8496401, 6.845060800000001)"
