location,event,date,artist,genre,coordinates
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,KARINA,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,TIME MACHINE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,DJ KOFFI,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,PRINCE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,YOUN SUN NAH,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,DEVENDRA BANHART,,"(46.4312213, 6.9106799)"
Veytaux,MONTREUX JAZZ FESTIVAL,2013-07-14,ADAM MAKOWICZ,,"(46.42071019999999, 6.9286409)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,KASSETTE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,JESSE ROSE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,SCHNAUTZI,,"(46.4312213, 6.9106799)"
