location,event,date,artist,genre,coordinates
Bern,GURTEN FESTIVAL BERN,2008-07-19,BLIND,,"(46.9479739, 7.4474468)"
Zurich,LIVE AT SUNSET,2008-07-19,JUANES,,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2008-07-19,DEEP PURPLE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2008-07-19,PETE ROCK,,"(46.4312213, 6.9106799)"
