location,event,date,artist,genre
Geneve,MUSIQUES EN ETE,2011-08-11,ORCHESTRE DE CHAMBRE DE GENEVE,
Le Locle,ROCK ALTITUDE,2011-08-11,WILLIAM WHITE,
