location,event,date,artist,genre
Geneve,FESTIVAL DE LA BATIE,2008-08-29,MISS LI,
Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2008-08-29,QUATUOR CALIENTE,
