location,event,date,artist,genre,coordinates
Montreux,MONTREUX JAZZ FESTIVAL,2010-07-11,KEITH JARRETT,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2010-07-11,GIL SCOTT HERON,,"(46.4312213, 6.9106799)"
