location,event,date,artist,genre,coordinates
Zurich,LIVE AT SUNSET,2008-07-16,DIANA KRALL,,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2008-07-16,LENNY KRAVITZ,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2008-07-16,THE NATIONAL,,"(46.4312213, 6.9106799)"
Geneve,MUSIQUES EN ETE,2008-07-16,FRERES GUISSE,,"(46.2043907, 6.1431577)"
