location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-10,LES VOIX DE JEUNE OPERA COMPAGNIE
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-10,BASSEKOU KOUYATE
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-10,MESPARROW
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-10,SEA + AIR
Zurich,LIVE AT SUNSET,2013-07-10,STEPHAN EICHER
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,BIG BAND DE L'ARDECHE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,VIJAY IYER
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,GEORGE THOROGOOD
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,MISJA FITZGERALD MICHEL
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,JAKE BUGG
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,UNCLE ACID AND THE DEADBEATS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,QULINEZ
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-10,DIXON
Locarno,MOON AND STARS,2013-07-10,ZUCCHERO
Geneve,MUSIQUES EN ETE,2013-07-10,SANDRA NKAKE
