location,event,date,artist,genre,coordinates
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,ADAM MAKOWICZ,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,NOLOSE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,JANAINA MELLO,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,MAMBO CHICK,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,HEMU JAZZ ORCHESTRA,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,PRINCE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,PEE WEE ELLIS,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,HOLLIE COOK,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,THE DEADLINE EXPERIENCE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,PINO ARDUINI,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,DJ KOFFI,,"(46.4312213, 6.9106799)"
