location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,PALKOMUSKI
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,LES SOEURS GOUDRON
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,MARTIN O
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,HOQUETS
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,MOHAMED NOUAR
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,CAMERA
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-12,HOUSSE DE RACKET
Bern,GURTEN FESTIVAL BERN,2012-07-12,NOEL GALLAGHER'S HIGH FLYING BIRDS
Zurich,LIVE AT SUNSET,2012-07-12,CARO EMERALD
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-12,NIGHTWISH
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-12,JESSIE J
Locarno,MOON AND STARS,2012-07-12,ELTON JOHN
