location,event,date,artist
Le Noirmont,CHANT DU GROS,2011-09-10,YANNICK NOAH
Lausanne,ELECTROSANNE,2011-09-10,JACKMASTER
Lausanne,ELECTROSANNE,2011-09-10,ART DEPARTMENT
Geneve,FESTIVAL DE LA BATIE,2011-09-10,JULIEN CLAUSS
Les Acacias,FESTIVAL DE LA BATIE,2011-09-10,JULIANA SNAPPER
Geneve,FESTIVAL DE LA BATIE,2011-09-10,IMPERIAL TIGER ORCHESTRA
Montreux,SEPTEMBRE MUSICAL,2011-09-10,ORCHESTRE PHILHARMONIQUE DE VIENNE
Veyras en Valais,TOHU BOHU A VEYRAS,2011-09-10,TIKEN JAH FAKOLY
Villars,VILLARS DE VIVRE,2011-09-10,VERA TSYBAKOV
Villars,VILLARS DE VIVRE,2011-09-10,MICHEL LEEB
Villars,VILLARS DE VIVRE,2011-09-10,EDDIE BAYTOS
