location,event,date,artist,genre
Vevey,NOX ORAE,2016-08-27,THE BRIAN JONESTOWN MASSACRE,
Montreux,SEPTEMBRE MUSICAL,2016-08-27,ROYAL PHILARMONIC ORCHESTRA DE LONDRES,
