location,event,date,artist
Geneve,FETES DE GENEVE,2014-07-19,ALDEBERT : ENFANTILLAGES
Fribourg,LES GEORGES,2014-07-19,LAURE PERRET
Zurich,LIVE AT SUNSET,2014-07-19,PHILIPP FANKHAUSER
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,VILLARS VANGUARD  JAZZ ORCHESTRA
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,AS ANIMALS
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,HARRI STOJKA
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,MIGHTY OAKS
Vevey,MONTREUX JAZZ FESTIVAL,2014-07-19,YARON HERMAN
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,THE TRAP
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,RARE MOVEMENT
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-19,LOS SCRATCHOS
