location,event,date,artist,genre
Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2015-02-27,DJS EMMAVAGABONDE ET LUXELIA,
Martigny,ECHOOOES FESTIVAL,2015-02-27,BONEY M,
