location,event,date,artist,genre,coordinates
Neuchatel,FESTI NEUCH,2013-05-31,KLAXONS,,"(46.9899874, 6.9292732)"
Carouge,LOKOS,2013-05-31,THE TANGERINES,,"(46.1829674, 6.1378539)"
Sierre,SISMICS FESTIVAL,2013-05-31,SOLA KAMBA,,"(46.29413110000001, 7.533536199999999)"
