location,event,date,artist,genre
Lausanne,INFERNO,2014-06-27,GOJIRA,
Geneve,L'AMR AUX CROPETTES,2014-06-27,DAVID ROBIN,
Geneve,L'AMR AUX CROPETTES,2014-06-27,BERNARD TRONTIN,
Geneve,L'AMR AUX CROPETTES,2014-06-27,MAURICE MAGNONI,
Geneve,L'AMR AUX CROPETTES,2014-06-27,PIERRE AUDETAT,
Geneve,L'AMR AUX CROPETTES,2014-06-27,THEO DUBOULE,
Geneve,L'AMR AUX CROPETTES,2014-06-27,GABRIEL ZUFFEREY,
Cully,LAVAUX CLASSIQUE,2014-06-27,TRIO SAINT EXUPERY,
Cully,LAVAUX CLASSIQUE,2014-06-27,FABRIZIO CHIOVETTA,
Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-27,MOP MOP (INSTRUMENTAL COMBO),
