location,event,date,artist,genre,coordinates
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-04,STEELY DAN,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-04,BLACK MILK,,"(46.4312213, 6.9106799)"
