location,event,date,artist,genre
Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2012-08-25,ROBY LAKATOS,
Pully,PULLY FOR NOISE,2012-08-25,PATTI SMITH,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,MEENA CRYLE,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,RICHARD KOECHLI,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,BIG DEZ,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,MIKE ZITO,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,CISCO HERZHAFT,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,SHEMEKIA COPELAND,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,CISCO HERZHAFT,
Sierre,SIERRE BLUES FESTIVAL,2012-08-25,T. BLUES MOB,
Munchenstein,SUMMERSTAGE BASEL,2012-08-25,ZURI WEST,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-25,L'CHAIM,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-25,JABASWING,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-25,LA STRAPATA,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-25,FLAVIO BOLTRO,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-25,MZ DEE,
