location,event,date,artist,genre
Zurich,LIVE AT SUNSET,2014-07-13,TEXAS,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,OPE SMITH,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,PALOMA FAITH,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,MULATU ASTATKE,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,NICK MURPHY (CHET FAKER),
Veytaux,MONTREUX JAZZ FESTIVAL,2014-07-13,LEO TARDIN,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,DARK HORSES,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,GREEN VELVET,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-13,ANDROMA,
Sierre,SIERRE BLUES FESTIVAL,2014-07-13,BASTIAN BAKER,
