location,event,date,artist,genre
Duedingen,BAD BONN KILBI,2012-07-11,BONNIE PRINCE BILLY,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,LES SOEURS GOUDRON,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,ENSEMBLE VOCAL DE LAUSANNE,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,IETO,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,LES PETITS CHANTEURS A LA GUEULE DE BOIS,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,FINK,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,THE CYBORGS,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,MOHAMED NOUAR,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,CHAPELIER FOU,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-11,ELEKTRO GUZZI,
Zurich,LIVE AT SUNSET,2012-07-11,BB KING,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-11,HERBIE HANCOCK,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-11,TONY BENNETT,
Locarno,MOON AND STARS,2012-07-11,LENNY KRAVITZ,
Geneve,MUSIQUES EN ETE,2012-07-11,EL GUSTO,
