location,event,date,artist,genre
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-14,ANTHONY JOSEPH,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-14,ARNAUD DUCRET,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-14,BARCELLA,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-14,MAIA VIDAL,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-14,DAVID NEERMAN,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-14,OY,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-14,KARAOKE FROM HELL,
Bern,GURTEN FESTIVAL BERN,2012-07-14,XAVIER RUDD,
Zurich,LIVE AT SUNSET,2012-07-14,LOREENA MCKENNITT,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-14,HERBERT GRÃ–NEMEYER,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-14,JANELLE MONAE,
Locarno,MOON AND STARS,2012-07-14,LAURA PAUSINI,
