location,event,date,artist,genre
Fribourg,FESTIVAL INTERNATIONAL DE LA GUITARE A FRIBOURG,2013-10-05,LARRY DEL CASALE,
Lausanne,HOLY GROOVE FESTIVAL,2013-10-05,LEFTIES SOUL CONNECTION,
Yverdon Les Bains,HOPE N ROCK,2013-10-05,PHILIP MORAX,
Thonon Les Bains,JAZZCONTREBAND,2013-10-05,JOHN ABERCROMBIE,
Collonge Bellerive,JAZZCONTREBAND,2013-10-05,TRIONYX,
Sion,JAZZCONTREBAND,2013-10-05,STEFAN RUSCONI,
Geneve,JAZZCONTREBAND,2013-10-05,ROOT 70 WITH STRINGS,
