location,event,date,artist,genre,coordinates
Zurich,CHANSONS EN STOK,2007-09-15,JONAS ET LE TAXI BROUSSE ORCHESTRA,,"(47.3768866, 8.541694)"
Le Noirmont,CHANT DU GROS,2007-09-15,MATTAFIX,,"(47.2256223, 6.9572116)"
Geneve,FESTIVAL DE LA BATIE,2007-09-15,ZEBRA (Antoine),,"(46.2043907, 6.1431577)"
