location,event,date,artist,genre
Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2012-12-08,LES WAMPAS,
Vevey,MONTREUX JAZZ FESTIVAL,2012-12-08,JULIE VICTOR,
Geneve,TAMBOUR BATTANT FESTIVAL,2012-12-08,PEDRO KOUYATE,
