location,event,date,artist
Fribourg,FESTIVAL INTERNATIONAL DE LA GUITARE A FRIBOURG,2013-10-06,KHALED ARMAN
Lausanne,HOLY GROOVE FESTIVAL,2013-10-06,THE TWO
