location,event,date,artist,genre
Zurich,LIVE AT SUNSET,2013-07-15,DEEP PURPLE,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,BELO,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,BELO,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,PRINCE,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,VALERIE JUNE,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,YAN WAGNER,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,WHITE DENIM,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,SALVATORE FREDA,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-15,BOSTON BUN,
Geneve,MUSIQUES EN ETE,2013-07-15,KENNY BARRON,
