location,event,date,artist,genre,coordinates
Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2009-05-03,ALIESKI VIANA,,"(46.5196535, 6.6322734)"
Bale (Basel),JAZZFESTIVAL BASEL,2009-05-03,GERARDO NUNEZ,,"(47.5595986, 7.5885761)"
