location,event,date,artist
Saint Sulpice,FESTIVAL DE LA CITE A LAUSANNE,2013-07-06,DEAD WESTERN
Avully,GENA FESTIVAL,2013-07-06,FLOYD BEAUMONT
Lugano,LUGANO ESTIVAL JAZZ,2013-07-06,ARTURO SANDOVAL
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,KOQA
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,BIG BAND DE ROANNE (BBR)
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,KOQA
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,WYCLEF JEAN
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,TRIXIE WHITLEY
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,GIRLS IN HAWAII
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,MONOSKI
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,DEETRON
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,BTK aka IDENTITY
Locarno,MOON AND STARS,2013-07-06,DIE TOTEN HOSEN
Zurich,TOUCH THE LAKE,2013-07-06,SNOWGOONS
