location,event,date,artist,genre
Pully,FESTIVAL'ENTRE2,2015-06-06,AXELLE RED,
Delle,PORRENTRUY-DELLE JAZZ FESTIVAL,2015-06-06,FLORENT KIRCHMEYER,
