location,event,date,artist,genre
Zurich,LIVE AT SUNSET,2013-07-17,NENA,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,KARAMELO SANTO,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,GURUVER,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,KRAFTWERK,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,JON BATISTE & THE STAY HUMAN BAND,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,ALUNAGEORGE,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,THE AWKWARDS,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,GUTI,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-17,DJ ALEXSUMI,
Geneve,MUSIQUES EN ETE,2013-07-17,FLAVIA COELHO,
