location,event,date,artist,genre
Zurich,LIVE AT SUNSET,2014-07-12,JAMIE CULLUM,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,TUCSON JAZZ BAND,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,STEPHAN EICHER,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,TERRI LYNE CARRINGTON,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,MILKY CHANCE,
Veytaux,MONTREUX JAZZ FESTIVAL,2014-07-12,LESZEK MOZDZER,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,ELFERYA,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,MR MIKE,
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-12,BAUCHAMP,
Sierre,SIERRE BLUES FESTIVAL,2014-07-12,JONNY LANG,
