location,event,date,artist,genre
Sion,GUINNESS IRISH FESTIVAL,2007-08-09,GLEN OF GUINNESS,
Pully,PULLY FOR NOISE,2007-08-09,!!! (CHK CHK CHK),
Geneve,VILLAGE TROPICAL,2007-08-09,SERGENT GARCIA,
