location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2015-07-10,PATRICK COTTET MOINE
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2015-07-10,PETER KERNEL
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2015-07-10,FORMATION
Zurich,LIVE AT SUNSET,2015-07-10,JOHN LEGEND
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-10,THOUGHT FORMS
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-10,JASON MORAN
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-10,SEBASTIEN SCHULLER
Veytaux,MONTREUX JAZZ FESTIVAL,2015-07-10,TOBIAS PREISIG
Locarno,MOON AND STARS,2015-07-10,ROXETTE
Geneve,MUSIQUES EN ETE,2015-07-10,LISA LEBLANC
Geneve,MUSIQUES EN ETE,2015-07-10,OPERA DE CHAMBRE DE GENEVE
Frauenfeld,OPENAIR FRAUENFELD,2015-07-10,REMI
Sierre,SIERRE BLUES FESTIVAL,2015-07-10,LIL ED AND THE BLUES IMPERIALS
Munchenstein,SUMMERSTAGE BASEL,2015-07-10,KATIE MELUA
