location,event,date,artist,genre
Lucerne,BLUE BALLS,2007-07-26,AYO,
Lucerne,BLUE BALLS,2007-07-26,ARCHIVE,
Nyon,PALEO FESTIVAL,2007-07-26,VOULZY & SOUCHON,
Alterswil,STONE HILL,2007-07-26,ROY AND THE DEVIL MOTORCYCLE,
