location,event,date,artist,genre,coordinates
Denens,BERLES ROCK FESTIVAL,2009-07-17,ELECTRIC ELECTRIC,,"(46.51844, 6.45656)"
Lucerne,BLUE BALLS,2009-07-17,MARVIN,,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2009-07-17,JAMIE LIDELL,,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2009-07-17,HURLEY AND THE BLUE DOTS,,"(47.05016819999999, 8.3093072)"
Bern,GURTEN FESTIVAL BERN,2009-07-17,AYO,,"(46.9479739, 7.4474468)"
Zurich,LIVE AT SUNSET,2009-07-17,PEPE LIENHARD,,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-17,MELODY GARDOT,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2009-07-17,JEFF BECK,,"(46.4312213, 6.9106799)"
Geneve,MUSIQUES EN ETE,2009-07-17,OPERA DE CHAMBRE DE GENEVE,,"(46.2043907, 6.1431577)"
Geneve,MUSIQUES EN ETE,2009-07-17,RODOLPHE BURGER,,"(46.2043907, 6.1431577)"
