location,event,date,artist,genre,coordinates
Geneve,FETES DE GENEVE,2015-07-19,NIKKI HILL,,"(46.2043907, 6.1431577)"
Fribourg,LES GEORGES,2015-07-19,LES PETITS CHANTEURS A LA GUEULE DE BOIS,,"(46.8064773, 7.161971899999999)"
Zurich,LIVE AT SUNSET,2015-07-19,XAVIER NAIDOO,,"(47.3768866, 8.541694)"
