location,event,date,artist,genre,coordinates
Lucerne,BLUE BALLS,2016-07-23,KEB'MO,,"(47.05016819999999, 8.3093072)"
Lumnezia,OPEN AIR LUMNEZIA,2016-07-23,THE SUBWAYS,,"(46.71766, 9.17366)"
Nyon,PALEO FESTIVAL,2016-07-23,THE CHEMICAL BROTHERS,,"(46.3832683, 6.2347852)"
