location,event,date,artist,genre,coordinates
Le Noirmont,CHANT DU GROS,2012-09-07,MACADAM DIVE,,"(47.2256223, 6.9572116)"
Lausanne,ELECTROSANNE,2012-09-07,TODD TERJE,,"(46.5196535, 6.6322734)"
Lausanne,ELECTROSANNE,2012-09-07,CLAUDE VONSTROKE,,"(46.5196535, 6.6322734)"
Lausanne,ELECTROSANNE,2012-09-07,MAD PROFESSOR,,"(46.5196535, 6.6322734)"
Lausanne,ELECTROSANNE,2012-09-07,DIXON,,"(46.5196535, 6.6322734)"
Lausanne,ELECTROSANNE,2012-09-07,CAMO & KROOKED,,"(46.5196535, 6.6322734)"
Lausanne,ELECTROSANNE,2012-09-07,MOOMIN,,"(46.5196535, 6.6322734)"
Geneve,FESTIVAL DE LA BATIE,2012-09-07,CHASSOL,,"(46.2043907, 6.1431577)"
Vevey,SEPTEMBRE MUSICAL,2012-09-07,LEONIDAS KAVAKOS,,"(46.4628333, 6.8419192)"
Veyras en Valais,TOHU BOHU A VEYRAS,2012-09-07,IAM,,"(46.3045233, 7.5389954)"
Villars,VILLARS DE VIVRE,2012-09-07,"PIAZZOLLA, 4 SAISONS DE TANGO (ART EN CIEL)",,"(46.3, 7.05)"
Villars,VILLARS DE VIVRE,2012-09-07,FREDERIC RECROSIO,,"(46.3, 7.05)"
Villars,VILLARS DE VIVRE,2012-09-07,MONTREUX (Tribute to Freddie Mercury),,"(46.3, 7.05)"
