location,event,date,artist,genre
Geneve,FETES DE GENEVE,2014-08-06,MERE GRAND & THE SOUND AVENGERS,
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2014-08-06,BLACK LIPS,
