location,event,date,artist,genre
Lausanne,INFERNO,2014-06-28,SOLSTAFIR,
Geneve,L'AMR AUX CROPETTES,2014-06-28,13,
Geneve,L'AMR AUX CROPETTES,2014-06-28,ZATAR,
Geneve,L'AMR AUX CROPETTES,2014-06-28,SWONG,
Geneve,L'AMR AUX CROPETTES,2014-06-28,LILA,
Geneve,L'AMR AUX CROPETTES,2014-06-28,MARCOS JIMENEZ,
Geneve,L'AMR AUX CROPETTES,2014-06-28,LUCA PAGANO,
Geneve,L'AMR AUX CROPETTES,2014-06-28,CON TO' LOS HIERROS,
Cully,LAVAUX CLASSIQUE,2014-06-28,ASTRIG SIRANOSSIAN,
Cully,LAVAUX CLASSIQUE,2014-06-28,MAURO LO CONTE,
Cully,LAVAUX CLASSIQUE,2014-06-28,GERARD WYSS,
Cully,LAVAUX CLASSIQUE,2014-06-28,BELCEA QUARTET,
Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-28,SYNAPSON,
