location,event,date,artist
Geneve,L'AMR AUX CROPETTES,2012-06-30,MYRIAM DE ROUGEMONT TRIO
Cully,LAVAUX CLASSIQUE,2012-06-30,CEDRIC PESCIA
Cully,LAVAUX CLASSIQUE,2012-06-30,PHILIPPE HERSANT
Cully,LAVAUX CLASSIQUE,2012-06-30,KARINE MKRTCHYAN
Mendrisio,LUGANO ESTIVAL JAZZ,2012-06-30,AL DI MEOLA
Montreux,MONTREUX JAZZ FESTIVAL,2012-06-30,JORGE BEN JOR
Montreux,MONTREUX JAZZ FESTIVAL,2012-06-30,CHRIS CORNELL
Gunzgen,MOTION OPENAIR,2012-06-30,SNOOP DOGG
Saint Gallen,OPEN AIR DE SAINT GALLEN,2012-06-30,DIE TOTEN HOSEN
Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2012-06-30,AWESOME TAPES FROM AFRICA
