location,event,date,artist,genre
Chene Bougeries,BIMBADABOUM FESTIVAL,2012-08-17,"FRANZ (Francois Velliet / ""BAS LES PATTES""))",
Plan les Ouates,FESTIVAL PLEIN LES WATTS,2012-08-17,LES FILS DE TEUHPU,
Geneve,MUSIQUES EN ETE,2012-08-17,ANGELIKA KIRCHSCHLAGER,
Geneve,MUSIQUES EN ETE,2012-08-17,MONOFOCUS,
Vevey,NOX ORAE,2012-08-17,FANFARLO,
Gampel,OPEN AIR DE GAMPEL,2012-08-17,HUCK FINN,
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-17,FRANCOIS CASTIELLO,
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-17,LULUXPO,
Yvoire,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-08-17,ESTELLE REVAZ,
Le Locle,ROCK ALTITUDE,2012-08-17,NAPALM DEATH,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,SAXITUDE,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,RED HOT SERENADERS,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,JACKY MILLIET,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,FRANK SALIS,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-17,SEPTETO NACIONAL,
