location,event,date,artist,genre
Geneve,MUSIQUES EN ETE,2012-08-24,BASTIAN BAKER,
Pully,PULLY FOR NOISE,2012-08-24,DIGITALISM,
Sierre,SIERRE BLUES FESTIVAL,2012-08-24,REVEREND BLACK NETWORK,
Sierre,SIERRE BLUES FESTIVAL,2012-08-24,MALTED MILK,
Sierre,SIERRE BLUES FESTIVAL,2012-08-24,THE CYBORGS,
Sierre,SIERRE BLUES FESTIVAL,2012-08-24,ANA POPOVIC,
Sierre,SIERRE BLUES FESTIVAL,2012-08-24,THE CYBORGS,
Sierre,SIERRE BLUES FESTIVAL,2012-08-24,BEN POOLE,
Munchenstein,SUMMERSTAGE BASEL,2012-08-24,PATENT OCHSNER,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-24,L'CHAIM,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-24,ROGER ROBERT & BOOGIE PIANO,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-24,CHARLIE MORRIS,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-24,SONYA PINCON,
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-24,PG PROJECT JAZZ,
