location,event,date,artist,genre,coordinates
Geneve,FESTIVAL DE LA BATIE,2010-09-05,MORNING STAR,,"(46.2043907, 6.1431577)"
Montreux,SEPTEMBRE MUSICAL,2010-09-05,ORCHESTRE NATIONAL DE FRANCE,,"(46.4312213, 6.9106799)"
