location,event,date,artist,genre
Fribourg,LES GEORGES,2016-07-13,JIM THE BARBER AND HIS SHINY BLADES,
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-13,MAX JURY,
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-13,A BU TRIO,
Montreux,MONTREUX JAZZ FESTIVAL,2016-07-13,RAG N BONE MAN,
Locarno,MOON AND STARS,2016-07-13,PHARRELL WILLIAMS,
