location,event,date,artist
Le Noirmont,CHANT DU GROS,2013-09-06,GROUNDATION
Lausanne,ELECTROSANNE,2013-09-06,ADAM PORT
Lausanne,ELECTROSANNE,2013-09-06,DJ SPINN
Lausanne,ELECTROSANNE,2013-09-06,JEAN NIPON
Lausanne,ELECTROSANNE,2013-09-06,JAMIE JONES
Lausanne,ELECTROSANNE,2013-09-06,VIC CREZEE
Lausanne,ELECTROSANNE,2013-09-06,VAGHE STELLE
Lausanne,ELECTROSANNE,2013-09-06,DAN ANDREI
Veytaux,SEPTEMBRE MUSICAL,2013-09-06,LILIT GRYGORIAN
Veyras en Valais,TOHU BOHU A VEYRAS,2013-09-06,SOPHIE HUNGER
