location,event,date,artist,genre
Le Noirmont,CHANT DU GROS,2012-09-08,CHARLOTTE PARFOIS / PEUT-ETRE,
Lausanne,ELECTROSANNE,2012-09-08,DAMIAN LAZARUS,
Lausanne,ELECTROSANNE,2012-09-08,CLUB CHEVAL,
Lausanne,ELECTROSANNE,2012-09-08,JOAKIM,
Lausanne,ELECTROSANNE,2012-09-08,COOKIE MONSTA,
Lausanne,ELECTROSANNE,2012-09-08,BENJI BEN,
Lausanne,ELECTROSANNE,2012-09-08,NICO PURMAN,
Geneve,FESTIVAL DE LA BATIE,2012-09-08,MUNK,
Geneve,FESTIVAL DE LA BATIE,2012-09-08,ONEOHTRIX POINT NEVER /OPN,
Montreux,SEPTEMBRE MUSICAL,2012-09-08,RUNDFUNK SINFONIEORCHESTER BERLIN,
Veyras en Valais,TOHU BOHU A VEYRAS,2012-09-08,BIRDY NAM NAM,
Villars,VILLARS DE VIVRE,2012-09-08,VILLARS VANGUARD  JAZZ ORCHESTRA,
Villars,VILLARS DE VIVRE,2012-09-08,THE EIGHT KILLERS (BLUES BROTHERS SHOW),
Villars,VILLARS DE VIVRE,2012-09-08,LIFRE CHANGE,
