location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2015-07-11,PETITE NOIR
Zurich,LIVE AT SUNSET,2015-07-11,ROXETTE
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-11,LIONEL RICHIE
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-11,KRONOS QUARTET
Montreux,MONTREUX JAZZ FESTIVAL,2015-07-11,PROTOJE
Veytaux,MONTREUX JAZZ FESTIVAL,2015-07-11,POLAR
Frauenfeld,OPENAIR FRAUENFELD,2015-07-11,FLATBUSH ZOMBIES
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-11,ONDA VAGA
Sierre,SIERRE BLUES FESTIVAL,2015-07-11,LATVIAN BLUES BAND
Munchenstein,SUMMERSTAGE BASEL,2015-07-11,PATENT OCHSNER
