location,event,date,artist,genre
Gampel,OPEN AIR DE GAMPEL,2015-08-21,KUMMERBUBEN,
Pully,PULLY FOR NOISE,2015-08-21,JUNGLE,
Penthalaz,VENOGE FESTIVAL,2015-08-21,KADEBOSTANY,
