location,event,date,artist
Lucerne,BLUE BALLS,2013-07-19,LUCY ROSE
Lucerne,BLUE BALLS,2013-07-19,ZAZ
Lucerne,BLUE BALLS,2013-07-19,DAVID CELIA
Geneve,FETES DE GENEVE,2013-07-19,VOXSET
Zurich,LIVE AT SUNSET,2013-07-19,STING
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,LiA
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,NGOC LAN
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,DEEP PURPLE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,KAT EDMONSON
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,SOLOMUN
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,BACK N BLACK
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-19,DANIEL DB
Geneve,MUSIQUES EN ETE,2013-07-19,DARAN
