location,event,date,artist,genre,coordinates
Lausanne,FESTIVAL BACH DE LAUSANNE,2016-11-26,PATRICK MONTAN MISSIRLIAN,,"(46.5196535, 6.6322734)"
Geneve,FESTIVAL COULEUR CAFE GENEVE,2016-11-26,MANU DIBANGO,,"(46.2043907, 6.1431577)"
Nyon,NYON'S ON FIRE,2016-11-26,RISE OF THE NORTHSTAR,,"(46.3832683, 6.2347852)"
