location,event,date,artist,genre
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,JEAN CHRISTOPHE GEISER,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,TERAKAFT / TERAKRAFT,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,DOM LA NENA,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,TONY SAINT LAURENT,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-12,KOQA,
Zurich,LIVE AT SUNSET,2013-07-12,NATALIE COLE,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,HEMU JAZZ ORCHESTRA,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,FAUVE,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,TULIPA RUIZ,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,SUGAR BLUE,
Veytaux,MONTREUX JAZZ FESTIVAL,2013-07-12,GWILYM SIMCOCK,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,DAUGHTER,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,KARAOKE FROM HELL,
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-12,EMILIE NANA,
Locarno,MOON AND STARS,2013-07-12,BRYAN ADAMS,
Geneve,MUSIQUES EN ETE,2013-07-12,SALIF KEITA,
Geneve,MUSIQUES EN ETE,2013-07-12,OPERA DE CHAMBRE DE GENEVE,
Frauenfeld,OPENAIR FRAUENFELD,2013-07-12,SEEED,
Aarberg,STARS OF SOUNDS,2013-07-12,CANDY DULFER,
