location,event,date,artist,genre,coordinates
Ferney Voltaire,JAZZCONTREBAND,2009-10-23,GAEL HORELLOU,,"(46.25763200000001, 6.108669)"
Thonon Les Bains,JAZZCONTREBAND,2009-10-23,MOKHTAR SAMBA,,"(46.373565, 6.477634999999999)"
Monthey,JAZZCONTREBAND,2009-10-23,JACKY MILLIET,,"(46.2521873, 6.9469598)"
Nyon,JAZZCONTREBAND,2009-10-23,ERIK TRUFFAZ,,"(46.3832683, 6.2347852)"
Geneve,JAZZCONTREBAND,2009-10-23,SAMUEL HUGUENIN,,"(46.2043907, 6.1431577)"
Carouge,JAZZCONTREBAND,2009-10-23,N'RELAX,,"(46.1829674, 6.1378539)"
