location,event,date,artist
Puplinge,4 VENTS,2011-06-24,RAUL DE SOUZA
Avully,GENA FESTIVAL,2011-06-24,MMD 38
Cully,LAVAUX CLASSIQUE,2011-06-24,CEDRIC TIBERGHIEN
Cully,LAVAUX CLASSIQUE,2011-06-24,HENRI DEMARQUETTE
Cully,LAVAUX CLASSIQUE,2011-06-24,VINCENT THEVENAZ
Cully,LAVAUX CLASSIQUE,2011-06-24,LA VENEXIANA
Mendrisio,LUGANO ESTIVAL JAZZ,2011-06-24,OMAR SOSA
Porrentruy,PORRENTRUY-DELLE JAZZ FESTIVAL,2011-06-24,AL COPLEY
Sierre,SISMICS FESTIVAL,2011-06-24,THE RAMBLING WHEELS
Bale (Basel),SONISPHERE SUISSE,2011-06-24,IRON MAIDEN
Sursee,SUMMER SOUND SUISSE,2011-06-24,BOB DYLAN
