location,event,date,artist,genre,coordinates
Chene Bougeries,BIMBADABOUM FESTIVAL,2012-08-16,MONSIEUR LUNE (L'INCROYABLE HISTOIRE DE GASTON ET LUCIE),,"(46.1983939, 6.1851258)"
Gampel,OPEN AIR DE GAMPEL,2012-08-16,BEATSTEAKS,,"(46.3157745, 7.741944099999999)"
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-08-16,FRANCOIS XAVIER POIZAT,,"(46.2105553, 6.2317139)"
Le Locle,ROCK ALTITUDE,2012-08-16,NADA SURF,,"(47.0577195, 6.7487354)"
